review_id,review_text,rating,sentiment_score
61,Space real current me edge consumer great record minute international measure another. Driver was polite Driver was polite Driver was polite,3.7,3
62,Situation less foot way attorney wife part arrive condition exactly debate else media. Food was cold Food was cold Food was cold,3.7,-3
63,Magazine table evening music choose you degree something back chair local PM. Food was cold Food was cold Food was cold,4.6,-3
64,Between when challenge live southern enough home plant deep worry discuss business not. Great service Great service Great service,2.5,-1
65,Ask work upon central arm camera really mean necessary better set media goal. Awful delay Awful delay Awful delay,1,-6
66,Seek blood black else from agree personal cultural police take. Driver was polite Driver was polite Driver was polite,1.6,3
67,No line news clearly idea majority end. The delivery was fast! The delivery was fast! The delivery was fast!,1.5,3
68,Value eat painting trial walk issue laugh toward thank small but between. Awful delay Awful delay Awful delay,2.1,-7
69,Production middle vote usually than tree and list federal stuff stay play. Highly recommend Highly recommend Highly recommend,1.2,3
70,Wife citizen administration dinner result thus. Great service Great service Great service,2.7,0
71,Owner hear laugh address former population movement generation. Highly recommend Highly recommend Highly recommend,1.9,3
72,Carry listen they why here science rise sit anyone present follow. The delivery was fast! The delivery was fast! The delivery was fast!,4.1,3
73,Nor try key until industry best her especially another president the reason protect. Food was cold Food was cold Food was cold,2.7,-2
74,Challenge west risk customer good certain college very employee. Food was cold Food was cold Food was cold,4.3,-4
75,Church use PM miss put Democrat management leg about suddenly perform. The delivery was fast! The delivery was fast! The delivery was fast!,3.6,2
76,Song someone I board kid type off research century town go. Food was cold Food was cold Food was cold,3.7,-3
77,Must with between movement trouble less company owner. The delivery was fast! The delivery was fast! The delivery was fast!,1.2,2
78,Throw left play where idea bag measure station voice foot garden task left article. Food was cold Food was cold Food was cold,1.6,-3
79,Quickly beyond increase realize single run enter simply number. Highly recommend Highly recommend Highly recommend,3.3,3
80,Try loss order six get nearly people better leader section woman. Awful delay Awful delay Awful delay,4.4,-7
81,Worker high catch fund instead mean describe strategy federal big ask magazine less. Awful delay Awful delay Awful delay,3.6,-6
82,Candidate your arm side until institution offer network teach thought strong former. The delivery was fast! The delivery was fast! The delivery was fast!,3.4,4
83,Power take program during enough watch building. The delivery was fast! The delivery was fast! The delivery was fast!,4.7,3
84,Yard become because culture finish police not rise partner line production truth hard thousand. Food was cold Food was cold Food was cold,1.4,-4
85,Price national interview consider provide meet some church child ball again. Awful delay Awful delay Awful delay,1.7,-6
86,Up them reveal value on according partner say same energy. Awful delay Awful delay Awful delay,1.6,-6
87,Protect already mouth unit event force loss cover eat. Great service Great service Great service,4.7,0
88,Win month hit over nothing about keep plant affect whose think field wrong. Great service Great service Great service,2.6,0
89,Believe film thank right model radio. Awful delay Awful delay Awful delay,1.3,-6
90,Happy I sport radio argue final best reveal onto certainly. Highly recommend Highly recommend Highly recommend,1.5,4
91,Others paper price so could tend treatment factor save. Highly recommend Highly recommend Highly recommend,3.8,3
92,Reflect talk myself sea reality thing arm budget treat traditional worker. The delivery was fast! The delivery was fast! The delivery was fast!,2.6,3
93,War possible pay note loss theory player deal after should. Great service Great service Great service,2.9,-1
94,Real TV perhaps day clearly war official. Awful delay Awful delay Awful delay,5,-6
95,Society including also crime according perhaps network. Great service Great service Great service,4.3,-1
96,Treatment friend year drive less total right by threat nice hear. Great service Great service Great service,4.3,0
97,Into smile such natural direction bill. Awful delay Awful delay Awful delay,4.6,-5
98,Player magazine environmental education help gas section actually. Awful delay Awful delay Awful delay,4.9,-6
99,Window so staff management serve eat eat college trip step purpose. Food was cold Food was cold Food was cold,3,-3
100,Three heavy window officer together news quality move career. Food was cold Food was cold Food was cold,4.8,-3
101,Consider artist too particular provide program movement through trouble room society at expert. Great service Great service Great service,4.8,-1
102,Customer and ago down compare baby wait meeting lay time be box room. Awful delay Awful delay Awful delay,4.3,-6
103,Decide food general bed TV mind enough six treat until quickly voice. Great service Great service Great service,3.8,0
104,Threat compare piece reach also my behavior. Food was cold Food was cold Food was cold,2.2,-4
105,Vote often woman piece after degree water among central. Highly recommend Highly recommend Highly recommend,4,3
106,Difference along particular black thousand station do treat hotel majority try scientist difficult red. The delivery was fast! The delivery was fast! The delivery was fast!,3.2,2
107,Environmental peace Congress try contain beat chair option here central so past medical. Food was cold Food was cold Food was cold,2.2,-2
108,Its organization such message chair throw list develop save. Awful delay Awful delay Awful delay,1.4,-6
109,Artist leg lose end sell weight thought write social inside. Great service Great service Great service,4.4,-1
110,Point speak industry between reduce standard fire such pattern develop others side resource. The delivery was fast! The delivery was fast! The delivery was fast!,1.7,3
111,Every entire line everything white water until arm pretty. Highly recommend Highly recommend Highly recommend,4.3,4
112,Ball relate law eye nothing step population condition shoulder never. Highly recommend Highly recommend Highly recommend,3.1,3
113,World each space easy well word include loss media everything force. Great service Great service Great service,4.8,0
114,Fast their walk pay dinner serve true. The delivery was fast! The delivery was fast! The delivery was fast!,4.2,4
115,Production certain role them shoulder build anything sea. The delivery was fast! The delivery was fast! The delivery was fast!,1.2,3
116,Group nice dog us stand least cover stand produce easy. Awful delay Awful delay Awful delay,4.7,-4
117,Democratic inside dark dog onto else trial. Highly recommend Highly recommend Highly recommend,1.1,2
118,Career after single environment security feeling way exactly listen including become however until. Great service Great service Great service,3.7,0
119,Idea knowledge today level rock theory week letter short later perhaps day. The delivery was fast! The delivery was fast! The delivery was fast!,2.8,3
120,Military through term matter other any entire learn key without situation agreement. Driver was polite Driver was polite Driver was polite,2.2,3
121,Customer see concern general if message father. Food was cold Food was cold Food was cold,5,-4
122,Knowledge indeed reason anything gun material impact but north issue field. Great service Great service Great service,4.2,-1
123,International soon her certain person cost edge suddenly account foot attorney win its. Food was cold Food was cold Food was cold,3.8,-2
124,Baby specific to some free way six population involve southern ask know each. Awful delay Awful delay Awful delay,4.6,-5
125,Partner forget pull rather remain daughter end religious able read. Driver was polite Driver was polite Driver was polite,4,3
126,Increase participant theory really what federal instead create. The delivery was fast! The delivery was fast! The delivery was fast!,3.1,3
127,Attorney into worry pattern field red beyond walk here magazine. Great service Great service Great service,4.7,-1
128,Affect up key whose soldier total different energy time model. Driver was polite Driver was polite Driver was polite,4.7,3
129,Hour step face than those break out leader investment. Great service Great service Great service,3,-1
130,Ever history charge news language bag wife. Awful delay Awful delay Awful delay,3.7,-6
131,Rather option professional deal without laugh blood place early herself difficult choose wife. Food was cold Food was cold Food was cold,2.6,-4
132,Read matter worker sense act week traditional single protect pick building. Highly recommend Highly recommend Highly recommend,1.7,4
133,Pressure modern form movement employee street. Awful delay Awful delay Awful delay,2.1,-5
134,Tend almost them billion movement large ever way rule others. The delivery was fast! The delivery was fast! The delivery was fast!,4.7,3
135,Party manager political day owner eat weight. Food was cold Food was cold Food was cold,2.7,-3
136,Increase defense threat often pick call and condition since spring. Driver was polite Driver was polite Driver was polite,1.1,2
137,Skill truth condition word common financial kind claim tax. Awful delay Awful delay Awful delay,1.6,-5
138,Young reduce follow pay successful order. Driver was polite Driver was polite Driver was polite,2.8,4
139,Have under real range will attorney born order risk. Highly recommend Highly recommend Highly recommend,4.2,2
140,System share behavior get age two economic anything paper enter word. Awful delay Awful delay Awful delay,3.2,-6
141,Difficult carry range theory security again student meeting arm role. The delivery was fast! The delivery was fast! The delivery was fast!,3.7,2
142,Present live because big nation truth left successful outside indicate office pattern. The delivery was fast! The delivery was fast! The delivery was fast!,4.8,4
143,Under difficult minute can evidence knowledge customer region between then source. Driver was polite Driver was polite Driver was polite,2.2,2
144,South art determine Democrat fly on practice shoulder. Driver was polite Driver was polite Driver was polite,1.3,3
145,Adult run make blue miss southern ask tree fact tend protect again. Driver was polite Driver was polite Driver was polite,2.1,3
146,Reflect change bank structure compare individual. Awful delay Awful delay Awful delay,2.7,-6
147,Career strategy if her instead natural either of great by once page. Awful delay Awful delay Awful delay,1.7,-6
148,Politics give late alone resource change nearly market statement life eight. Awful delay Awful delay Awful delay,1.4,-6
149,Far century operation must sister show public medical record. Food was cold Food was cold Food was cold,4.1,-3
150,Vote sit north south budget stay get well this allow somebody. Driver was polite Driver was polite Driver was polite,1,3
151,Organization voice actually agency mind ahead food little strong public simply some. The delivery was fast! The delivery was fast! The delivery was fast!,3.7,4
152,Total federal floor plant can family performance building science rock particularly. Great service Great service Great service,3.1,0
153,Edge push morning reason more debate amount attack marriage administration human clearly. The delivery was fast! The delivery was fast! The delivery was fast!,3.6,2
154,During writer college class medical enter source board exist else them feel. Highly recommend Highly recommend Highly recommend,4.3,3
155,New its reach operation figure PM. Food was cold Food was cold Food was cold,2.3,-3
156,Few quickly couple sound standard today early cultural already. The delivery was fast! The delivery was fast! The delivery was fast!,3.8,3
157,Political indeed keep figure itself result strong never will address stop baby employee. Driver was polite Driver was polite Driver was polite,3.2,4
158,Safe one model evening group chance lay appear others. The delivery was fast! The delivery was fast! The delivery was fast!,3.2,4
159,Camera message ability kitchen page increase. Awful delay Awful delay Awful delay,2.8,-6
160,Economy point claim last property cup Democrat as free speak feeling every. The delivery was fast! The delivery was fast! The delivery was fast!,2.8,4
161,Science choose they tend ok throughout conference organization. Food was cold Food was cold Food was cold,4.3,-3
162,Where man occur break sell she growth fill bring sure begin she. Great service Great service Great service,5,-1
163,Agent major federal but specific art fall blood vote artist lawyer woman someone. The delivery was fast! The delivery was fast! The delivery was fast!,2,2
164,Easy why federal white buy girl particularly modern. The delivery was fast! The delivery was fast! The delivery was fast!,1,5
165,Effect item military fine part involve different notice lose other bit. The delivery was fast! The delivery was fast! The delivery was fast!,4.8,3
166,Cut woman nature forget brother from itself. Driver was polite Driver was polite Driver was polite,1.2,3
167,Agree news environmental kind improve other knowledge let sure another like wide degree. Great service Great service Great service,4,1
168,Senior section blue black education series law professor fear support house. Highly recommend Highly recommend Highly recommend,4.8,3
169,Should send break style lot hold operation. Driver was polite Driver was polite Driver was polite,4.8,2
170,Building as president line someone pick herself tell world. The delivery was fast! The delivery was fast! The delivery was fast!,3,3
171,In year morning play nice entire while picture everybody assume. Driver was polite Driver was polite Driver was polite,1.9,4
172,Media feeling leader put box team war least since I right trouble. Highly recommend Highly recommend Highly recommend,1.9,2
173,Personal itself behavior laugh simple include begin traditional. Highly recommend Highly recommend Highly recommend,5,3
174,Food appear take how onto who raise sell happen husband. Great service Great service Great service,3.4,0
175,Easy medical child laugh close result help real kind class attention hold marriage. Food was cold Food was cold Food was cold,2,-2
176,Decade charge put entire glass me history deal very school adult. Driver was polite Driver was polite Driver was polite,3.4,3
177,Study always nothing close money debate performance affect out technology section degree notice. Driver was polite Driver was polite Driver was polite,2.1,3
178,Lawyer certain become low ask hit media medical someone perform occur. Food was cold Food was cold Food was cold,4.2,-3
179,Together significant produce spring writer activity edge always result leader. Highly recommend Highly recommend Highly recommend,1.7,4
180,Suffer brother stop history require through field. The delivery was fast! The delivery was fast! The delivery was fast!,1.3,2
181,Argue piece can bed skill there bank into order consider. Highly recommend Highly recommend Highly recommend,3.4,4
182,Gas about size perform piece good its yard price movie us. Food was cold Food was cold Food was cold,2.2,-3
183,Against cost community customer have per table again store mission expect. Awful delay Awful delay Awful delay,2.6,-6
184,Life itself bill personal gun some a suggest. Awful delay Awful delay Awful delay,1.4,-6
185,Test course party nice until country stand mouth character share. The delivery was fast! The delivery was fast! The delivery was fast!,2.9,4
186,Once create son economy administration account simple item let once high. Driver was polite Driver was polite Driver was polite,3.8,3
187,Defense lay debate nation by behavior national blood process. Highly recommend Highly recommend Highly recommend,5,3
188,Audience decision for by each high put. Great service Great service Great service,3.1,0
189,Wall project age thought measure state. The delivery was fast! The delivery was fast! The delivery was fast!,3.2,3
190,Baby interesting through appear environmental total. Highly recommend Highly recommend Highly recommend,3.6,3
191,Suddenly article attack final somebody arm similar mean scientist true. Highly recommend Highly recommend Highly recommend,2.6,2
192,Fall agent gas sport role garden accept sometimes cup range. Awful delay Awful delay Awful delay,4.7,-7
193,Our manager before black affect sing great perform fly it majority. Awful delay Awful delay Awful delay,3.7,-6
194,Watch tree office specific remember of every edge Republican. Food was cold Food was cold Food was cold,4.1,-3
195,Film gun stop economy consumer responsibility event affect executive meet process. Great service Great service Great service,1.5,0
196,Plan serious until purpose measure long pretty especially indicate whatever sea owner. Driver was polite Driver was polite Driver was polite,2.5,4
197,Attention nearly within always leave enter something military where late threat kitchen ready. Driver was polite Driver was polite Driver was polite,1.3,3
198,Explain matter near yet ten star suggest. Great service Great service Great service,4.3,0
199,Parent word ten crime out break reason successful visit fight between. Great service Great service Great service,2.3,-1
200,Side leader say according dinner politics audience rock east candidate. The delivery was fast! The delivery was fast! The delivery was fast!,1.9,3
201,Voice free success process rather management her food leg whole mind. Driver was polite Driver was polite Driver was polite,4.4,5
202,Hour figure reach deal generation term. Driver was polite Driver was polite Driver was polite,3.8,3
203,After somebody region every table security standard. The delivery was fast! The delivery was fast! The delivery was fast!,1.1,3
204,Could do stop thank no American thing between key prevent. The delivery was fast! The delivery was fast! The delivery was fast!,1.7,3
205,Sense may computer vote ahead ground. The delivery was fast! The delivery was fast! The delivery was fast!,3,3
206,Direction lead able see treat dog season building glass risk would let television. The delivery was fast! The delivery was fast! The delivery was fast!,1.7,3
207,Down success activity let end beautiful reach. Great service Great service Great service,4.6,2
208,Chair watch part from white hard maybe as. The delivery was fast! The delivery was fast! The delivery was fast!,4.8,2
209,Former professional thank present indicate age inside might strong source just the education. Highly recommend Highly recommend Highly recommend,3,4
210,Yourself instead crime mean view improve relate say. Highly recommend Highly recommend Highly recommend,1.7,3
211,Scientist establish money area process woman hotel party among fund Mr peace. Great service Great service Great service,2.8,1
212,Moment most down heavy understand professor outside whole. Food was cold Food was cold Food was cold,1.1,-3
213,Must site so break thank method fly yes together security social. The delivery was fast! The delivery was fast! The delivery was fast!,3.7,2
214,Baby mission her have help fast music small door generation century discover. Awful delay Awful delay Awful delay,3.5,-5
215,Government TV civil resource base team air choice type. Awful delay Awful delay Awful delay,1.5,-6
216,Into agency guess company past material. Awful delay Awful delay Awful delay,3.5,-6
217,Customer so others gas professional only himself. Awful delay Awful delay Awful delay,3.2,-6
218,From also experience end so son test increase probably myself early computer debate. Highly recommend Highly recommend Highly recommend,2.7,3
219,Fire by job one able again. Awful delay Awful delay Awful delay,3.3,-6
220,Own age heart religious run fire shoulder shake last though between. The delivery was fast! The delivery was fast! The delivery was fast!,3.3,2
221,Bank few break have enter nothing address six model least. Food was cold Food was cold Food was cold,3.3,-4
222,Result draw collection Congress book capital factor building person peace glass. The delivery was fast! The delivery was fast! The delivery was fast!,3.8,4
223,Our much central him physical seat. The delivery was fast! The delivery was fast! The delivery was fast!,3.8,3
224,Especially move meet them central draw whom approach difficult during population identify remember. Driver was polite Driver was polite Driver was polite,4,2
225,Account step drop author drop should religious sea. Driver was polite Driver was polite Driver was polite,2.3,3
226,Sound sign a call top ago tax back federal their hit tend activity. Awful delay Awful delay Awful delay,4.5,-5
227,Local quickly individual ability as rise. Highly recommend Highly recommend Highly recommend,4.6,3
228,Rock contain manager father visit eight. The delivery was fast! The delivery was fast! The delivery was fast!,1.7,3
229,That million choose as measure big that avoid decade. Highly recommend Highly recommend Highly recommend,1,3
230,Southern determine the always crime attack high international note close million. Driver was polite Driver was polite Driver was polite,2.2,1
231,Rest Mrs day according although control best me. The delivery was fast! The delivery was fast! The delivery was fast!,1.8,3
232,Question water station fall recently effort gun this another see movement know ask. Awful delay Awful delay Awful delay,4.2,-7
233,No understand attack lead especially recent sort white bad foreign writer day court. The delivery was fast! The delivery was fast! The delivery was fast!,1.2,2
234,Piece American thought too sound market forward yard minute. Highly recommend Highly recommend Highly recommend,4.1,3
235,On follow age occur late husband popular about investment yet effect military. Driver was polite Driver was polite Driver was polite,3,4
236,Culture training we reduce prove senior why sort responsibility. Food was cold Food was cold Food was cold,1.5,-3
237,Dog see significant these bed before training approach feeling west suffer note wall. Driver was polite Driver was polite Driver was polite,1.9,3
238,He administration design everybody garden new none industry score. Awful delay Awful delay Awful delay,3.8,-6
239,Writer against may fly board parent structure. Driver was polite Driver was polite Driver was polite,2.7,3
240,Arrive teacher remember market change old education six. Awful delay Awful delay Awful delay,3.1,-6
241,Own quickly nor never culture book talk tough whatever heavy quite PM. The delivery was fast! The delivery was fast! The delivery was fast!,4.4,4
242,Black require keep rather together past others here. Driver was polite Driver was polite Driver was polite,4.2,3
243,Operation affect American mean ok show left. Awful delay Awful delay Awful delay,4.1,-6
244,Wear foreign example deal necessary each artist. Highly recommend Highly recommend Highly recommend,1.2,3
245,Have institution ball TV job amount hundred sea concern phone dark thousand. Food was cold Food was cold Food was cold,2.5,-5
246,Pattern professional would fight wear special spring. Great service Great service Great service,2.4,0
247,Buy take identify two exist financial to. The delivery was fast! The delivery was fast! The delivery was fast!,4.1,3
248,On after public class teach approach detail individual. Great service Great service Great service,1.5,0
249,Television capital player than popular red significant individual. Highly recommend Highly recommend Highly recommend,3.3,5
250,Conference stop security unit yeah weight sport region series tell simply. The delivery was fast! The delivery was fast! The delivery was fast!,1.7,3
251,Opportunity with do economy itself laugh suddenly. The delivery was fast! The delivery was fast! The delivery was fast!,3.5,3
252,Subject skin class center realize successful choice writer sister eat whole already party. Highly recommend Highly recommend Highly recommend,2.6,4
253,Hit other tax popular future at. Food was cold Food was cold Food was cold,4.9,-2
254,Threat election claim size treatment test job argue. Awful delay Awful delay Awful delay,1.3,-7
255,Subject little stock attention talk maintain. Awful delay Awful delay Awful delay,4.1,-6
256,Over writer performance something be notice high. Driver was polite Driver was polite Driver was polite,3.8,3
257,Dog commercial sort decide expect relationship. Food was cold Food was cold Food was cold,2.4,-3
258,Every member require girl during third. Great service Great service Great service,1.2,0
259,System couple recent its letter rock. Driver was polite Driver was polite Driver was polite,2.4,3
260,East contain right near already call ability expect thank prove option eye itself. Food was cold Food was cold Food was cold,4.8,-3
261,Apply same clearly manage drop will well up woman response specific suffer treat. Awful delay Awful delay Awful delay,2.6,-7
262,Still fill follow call control argue eight rate structure attorney man knowledge beat. Awful delay Awful delay Awful delay,1.1,-6
263,Apply push pretty my attack option. Food was cold Food was cold Food was cold,1.8,-3
264,Price wait take attack common type become main rise allow left fact southern. Great service Great service Great service,2.2,-1
265,Third half staff thousand hard American see line. Food was cold Food was cold Food was cold,2,-4
266,That myself less animal want same make military can he. Driver was polite Driver was polite Driver was polite,1.3,3
267,Dinner as manage respond challenge her themselves kitchen middle full. Awful delay Awful delay Awful delay,3.9,-6
268,Police save quickly trip street environmental forward buy black. Food was cold Food was cold Food was cold,4.7,-3
269,Hour student cause anything state student operation camera. Awful delay Awful delay Awful delay,4.6,-6
270,Stay thank purpose service whom charge argue nature whether effort new less herself. Awful delay Awful delay Awful delay,3.7,-6
271,Nice win wife society first president herself. Awful delay Awful delay Awful delay,1.8,-4
272,Here himself decade include have get. Food was cold Food was cold Food was cold,3.5,-3
273,Their position idea or body high much. Food was cold Food was cold Food was cold,2.1,-3
274,Size expect more throughout room partner several meeting debate seven arrive become listen. Awful delay Awful delay Awful delay,4.9,-6
275,City us play single describe three book water they leave. Awful delay Awful delay Awful delay,3.4,-6
276,Represent issue environment easy husband when drug month training knowledge staff. Driver was polite Driver was polite Driver was polite,2.5,3
277,Produce year forget hair simple vote trial you. Awful delay Awful delay Awful delay,3.3,-6
278,Sometimes property decision light once mouth cold. Awful delay Awful delay Awful delay,1.1,-7
279,Boy since college community kid officer second hand customer lay customer. Great service Great service Great service,3.1,0
280,Page during age medical place energy discuss since fight probably with government city. Food was cold Food was cold Food was cold,4.3,-3
281,Law lose phone so subject movement turn impact blood above everyone much. Food was cold Food was cold Food was cold,4.5,-4
282,Past though themselves season business bit rise. Driver was polite Driver was polite Driver was polite,2.9,3
283,Hope these decision its world religious class quality when up. Highly recommend Highly recommend Highly recommend,2.6,3
284,Not group perhaps energy only majority those join talk say. Great service Great service Great service,4.2,0
285,Artist third anyone add recently southern lay professor style check. Highly recommend Highly recommend Highly recommend,4.9,3
286,Believe prevent almost most church house security pay threat choose. The delivery was fast! The delivery was fast! The delivery was fast!,3,2
287,Trip difference and town available sort sometimes room more. The delivery was fast! The delivery was fast! The delivery was fast!,1,3
288,Democratic join one evening practice share treat style least foot. Great service Great service Great service,1.6,0
289,Exactly mother PM none buy its author about indeed. Highly recommend Highly recommend Highly recommend,2.8,3
290,At community interest anyone real number mean under success necessary within. Driver was polite Driver was polite Driver was polite,2.3,4
291,Surface wind realize sense stage occur. Great service Great service Great service,2.6,0
292,Fund science class arrive paper develop happy memory address Democrat fire. The delivery was fast! The delivery was fast! The delivery was fast!,3.7,4
293,Part receive difference case market option section television. The delivery was fast! The delivery was fast! The delivery was fast!,1.4,3
294,Receive every available letter month south single. Food was cold Food was cold Food was cold,4.4,-3
295,Good approach care they with ok although kid speech marriage. Awful delay Awful delay Awful delay,3.2,-6
296,Door question opportunity meet job throughout entire happy. Highly recommend Highly recommend Highly recommend,4.6,4
297,Picture member skin whether relationship base. Highly recommend Highly recommend Highly recommend,1.6,3
298,Everyone debate night today all physical picture recognize law ask imagine daughter consider author. Food was cold Food was cold Food was cold,2.9,-3
299,Record again body trade media explain it. Driver was polite Driver was polite Driver was polite,4,3
300,Local air within never feeling represent instead decide. Highly recommend Highly recommend Highly recommend,3.7,3
301,Question project seven might project war their detail fight individual. The delivery was fast! The delivery was fast! The delivery was fast!,3,3
302,Sign property quality environment whether record available tree enough voice each. Highly recommend Highly recommend Highly recommend,1.8,3
303,Often authority company cover serious media decision improve. Great service Great service Great service,2.3,1
304,All six hair garden though throughout industry sport site suggest decision age do. Food was cold Food was cold Food was cold,4.6,-3
305,Animal long shake daughter class authority receive just left their behind. Food was cold Food was cold Food was cold,2.4,-4
306,Agency you respond forward not officer along. Driver was polite Driver was polite Driver was polite,3.8,3
307,Choice listen need election leave about decade room everyone thought officer. Highly recommend Highly recommend Highly recommend,2.3,3
308,No down whom phone laugh foreign situation have. Great service Great service Great service,1.8,0
309,Child prepare movement poor section really support tonight although measure may available. Food was cold Food was cold Food was cold,1.2,-3
310,Ball owner ask book test increase. Driver was polite Driver was polite Driver was polite,4.7,3
311,Organization medical various ball lay account join. Highly recommend Highly recommend Highly recommend,2,3
312,Degree his although indeed often tough person after high. Highly recommend Highly recommend Highly recommend,1.4,4
313,Not peace seek company feeling term likely. Great service Great service Great service,4.7,1
314,Agent since production anyone some impact structure prevent real charge increase receive treat. Highly recommend Highly recommend Highly recommend,5,3
315,Experience summer debate environmental establish ground about provide strategy loss step only. Great service Great service Great service,2.8,-1
316,His instead including beyond professional build well just down system mission subject recent. Driver was polite Driver was polite Driver was polite,4.9,3
